Error processing line 1: could not convert string to float: 'Longitude'
Latitude: 36.92480518575134, Longitude: 82.67072185300111 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.93625130772663, Longitude: 82.71854190999042 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.947932129459666, Longitude: 82.72013591189007 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.96124962889366, Longitude: 82.71575240666604 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.96744159250499, Longitude: 82.72153066355224 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.97865802429844, Longitude: 82.72930142281301 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.95260477091096, Longitude: 82.73707218207379 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.932163283941, Longitude: 82.72720929531974 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.91627968949486, Longitude: 82.70529176919962 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.9203671819844, Longitude: 82.71116965120456 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.917447530544166, Longitude: 82.69672400898902 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.90285031924244, Longitude: 82.62947705384781 --> Address: 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
