Longitude,Latitude,Level,geohash,place,name,street,suburb,address
74.326482,31.519053,3,ttsg73fgu965,Canal Bank Road,Canal Bank Road,Canal Bank Road,Muslim Town,"Canal Bank Road, Muslim Town, Model Town Tehsil 54357, Pakistan"
74.326751,31.458823,3,ttsfgqghfvdm,Township,,,Township,"Township, Model Town Tehsil 54700, Pakistan"
74.327377,31.600672,3,ttsgg2ex32m9,Abu Bakar Road,Abu Bakar Road,Abu Bakar Road,Badami Bagh,"Abu Bakar Road, Badami Bagh, Qila Lachman Singh, Pakistan"
74.327914,31.566217,5,ttsge67ytcmf,Suzuki Master Motor Engineers,Suzuki Master Motor Engineers,Montgomery Road,Qila Gujjar Singh,"Suzuki Master Motor Engineers, Shop # 6 Montgomery Road, Qila Gujjar Singh, Civil Lines 57760, Pakistan"
74.329436,31.443117,2,ttsfgkj13mu3,Lahore Race Club Road,Lahore Race Club Road,Lahore Race Club Road,Town Ship Industrial Estate,"Lahore Race Club Road, Town Ship Industrial Estate, Model Town Tehsil 04200, Pakistan"
74.329525,31.58331,5,ttsgemt457z0,DHL,DHL,Circular Road,Naulakha,"DHL, Circular Road, Naulakha, Walled City, Pakistan"
74.329615,31.560758,5,ttsge3mntx9u,Telecommunications House,Telecommunications House,Aiwan-e-Iqbal Street,Jubilee Town,"Telecommunications House, Aiwan-e-Iqbal Street, Jubilee Town, Lahore 57760, Pakistan"
74.331986,31.50451,5,ttsg5rnzhf65,Kalma Chowk UnderPass,Kalma Chowk UnderPass,Kalma Chowk UnderPass,Garden Town,"Kalma Chowk UnderPass, Garden Town, Model Town Tehsil 54600, Pakistan"
74.333374,31.602373,2,ttsgg3pcjjk8,Abu Bakar Road,Abu Bakar Road,Abu Bakar Road,Badami Bagh,"Abu Bakar Road, Badami Bagh, Qila Lachman Singh, Pakistan"
74.334179,31.592618,3,ttsgex22rfv1,Tajpura,,,Tajpura,"Tajpura, Lahore, Lahore District, Pakistan"
74.334492,31.577449,3,ttsges2xzpn9,Allama Iqbal Road,Allama Iqbal Road,Allama Iqbal Road,Naulakha,"Allama Iqbal Road, Naulakha, Walled City 54840, Pakistan"
74.335074,31.575435,5,ttsges1hhz8m,Brandreth Road,,Brandreth Road,Lahore Junction,"Brandreth Road, Lahore Junction, Lahore 54840, Pakistan"
